multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,0.9964911664045879,1,1
multiple,1300,0.9942196531791907,0.9981981981981982,1
multiple,1400,0.9885493993840585,0.9961795571643338,1
multiple,1500,0.9803498677248677,0.9905482041587902,0.9981818181818182
multiple,1600,0.9735849056603774,0.9867674858223062,0.9963372627372628
multiple,1700,0.9631013966045376,0.9773176388049811,0.990567955916716
multiple,1800,0.9373790794635339,0.9578754578754579,0.9753877737226277
multiple,1900,0.92518981743304185,0.947075117630014,0.9672793587174349
multiple,2000,0.8899412810590327,0.9177570093457944,0.9424908822844726
multiple,2100,0.8574090774167102,0.8883161512027491,0.9153210406668351
multiple,2200,0.8360012627591288,0.8689912477159454,0.8981208395166419
multiple,2300,0.7920411812553358,0.8301886792452831,0.8668018476442929
multiple,2400,0.7412413804770767,0.7829939597146875,0.8208440795949936
multiple,2500,0.7097701065537878,0.7571293033342369,0.7960102048417133
multiple,2600,0.6610781369414753,0.7075398568973955,0.7505007043155334
multiple,2700,0.6152401627270814,0.6618907445966158,0.7047462589793028
multiple,2800,0.5921722048201851,0.6367153333781874,0.6800753688588652
multiple,2900,0.5462878787878788,0.5895738072642568,0.6313021641264847
multiple,3000,0.49721599622507967,0.544256120527307,0.5873745108159492
multiple,3100,0.4780201782802939,0.5238941047111563,0.5698219454112474
multiple,3200,0.4341346677559913,0.47649690319334814,0.5232184377531731
multiple,3300,0.3896977124183007,0.43704369837463364,0.48249745920204423
multiple,3400,0.3728506486095789,0.4178968297200131,0.463322367168521
multiple,3500,0.3402056107001878,0.3819722222222222,0.4288273673073532
multiple,3600,0.3001785726293988,0.34326902976299356,0.3884900308324769
multiple,3700,0.28651938194632687,0.3285067517542768,0.3723072920304533
multiple,3800,0.26013167679205307,0.3,0.3445131290425661
multiple,3900,0.22964718992811164,0.2713613566304325,0.3131745237237751
multiple,4000,0.21918722979035812,0.2586980759429154,0.2998067217993812
multiple,4100,0.19881451432943353,0.23719720948259154,0.27924297149042915
multiple,4200,0.18013582331666844,0.21542743806813747,0.255643912039987
multiple,4300,0.16998021085673345,0.20544045102184638,0.2449416333898583
multiple,4400,0.14932068499264864,0.18324006411127108,0.22242727596668432
multiple,4500,0.1320678482942634,0.16485485840324549,0.2018698847654478
multiple,4600,0.1281984928195649,0.15921809055699324,0.19450312143748982
