multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,0.9977272209567197,1,1
multiple,1300,0.9977272209567197,1,1
multiple,1400,0.9933181865741917,0.9978745990875006,1
multiple,1500,0.9853553415261002,0.9937106918238994,1
multiple,1600,0.9812492154811715,0.9913232104121475,0.9980626223091976
multiple,1700,0.9717366514111366,0.9848484848484849,0.9958254047024196
multiple,1800,0.958331589958159,0.9745860570712803,0.9889395022606948
multiple,1900,0.9495599528978088,0.967391304347826,0.9841284109149278
multiple,2000,0.9342086272381986,0.9548387096774194,0.9747384276591059
multiple,2100,0.9051507118311242,0.9308035714285714,0.955037354270759
multiple,2200,0.8903508771929824,0.9187767094017094,0.9446968524705468
multiple,2300,0.8622006796670942,0.8931623931623932,0.924224619399739
multiple,2400,0.8308295188888671,0.8651437533121642,0.8972642170750942
multiple,2500,0.8076871334943084,0.8442421460628315,0.881578947368421
multiple,2600,0.7610298027699511,0.8012111755695337,0.8402018745493871
multiple,2700,0.7154471544715447,0.7571091644204851,0.7995824123158779
multiple,2800,0.6958267543859649,0.7356076759061834,0.778036110455511
multiple,2900,0.6461538461538462,0.6909272605062964,0.7363989181879649
multiple,3000,0.6069054905081277,0.6520854042412194,0.6965160805591133
multiple,3100,0.5837066365007543,0.6287489398884634,0.6741170441912174
multiple,3200,0.5327836917181179,0.5801452401126317,0.6284152654252362
multiple,3300,0.4934829329962073,0.5372633757078927,0.585385210994967
multiple,3400,0.47311594709957316,0.5189192603544759,0.5704642857142858
multiple,3500,0.438427563769582,0.48577680525164113,0.537474072025444
multiple,3600,0.394065171741413,0.44045086119554205,0.49103754401361344
multiple,3700,0.37872052539247,0.4245486337020169,0.47297418494727916
multiple,3800,0.3436109940624401,0.3898305084745763,0.4361261496251642
multiple,3900,0.3171242200794101,0.3593589579055442,0.40724775908086436
multiple,4000,0.30107492507492506,0.3431390262457208,0.39041400598818266
multiple,4100,0.27043971171754794,0.3112449799196787,0.3570117918134996
multiple,4200,0.24276023606138347,0.28478959128572756,0.3267548159614723
multiple,4300,0.22978334833909872,0.27252735568186215,0.31397902148142826
multiple,4400,0.2110852414943914,0.2521097422019655,0.29184642860482296
multiple,4500,0.19954690049358137,0.23814412828786546,0.2779078934336932
multiple,4600,0.19057068765414187,0.22812904745084187,0.2649980831895725
