replicate,dif,multiplicity,log10_SpVL
1,-0.002770825955248135,log10_SpVL_single,4.20000111086038
1,-0.002770825955248135,log10_SpVL_multiple,4.197230284905132
2,-0.0722495863577084,log10_SpVL_single,4.206481888986471
2,-0.0722495863577084,log10_SpVL_multiple,4.134232302628763
3,-0.0917413342806741,log10_SpVL_single,4.207690466448979
3,-0.0917413342806741,log10_SpVL_multiple,4.115949132168305
4,-0.04707034866364612,log10_SpVL_single,4.2041551649054485
4,-0.04707034866364612,log10_SpVL_multiple,4.157084816241802
5,-0.03168407567640674,log10_SpVL_single,4.202575025871643
5,-0.03168407567640674,log10_SpVL_multiple,4.170890950195236
6,-0.06898961228972045,log10_SpVL_single,4.205747345211667
6,-0.06898961228972045,log10_SpVL_multiple,4.1367577329219465
7,-0.01976300710009138,log10_SpVL_single,4.201460478089581
7,-0.01976300710009138,log10_SpVL_multiple,4.18169747098949
8,-0.02686658844101153,log10_SpVL_single,4.202156133460594
8,-0.02686658844101153,log10_SpVL_multiple,4.175289545019583
9,-0.0021996293401063127,log10_SpVL_single,4.199956477477868
9,-0.0021996293401063127,log10_SpVL_multiple,4.197756848137762
10,-0.029623441294631903,log10_SpVL_single,4.202422716122389
10,-0.029623441294631903,log10_SpVL_multiple,4.172799274827757
11,0.04629169998689342,log10_SpVL_single,4.195740286854322
11,0.04629169998689342,log10_SpVL_multiple,4.242031986841216
12,0.010649597347667239,log10_SpVL_single,4.1989266637965095
12,0.010649597347667239,log10_SpVL_multiple,4.209576261144177
13,-0.0739621623129274,log10_SpVL_single,4.2063844406298285
13,-0.0739621623129274,log10_SpVL_multiple,4.132422278316901
14,0.006741104626937222,log10_SpVL_single,4.199117322385205
14,0.006741104626937222,log10_SpVL_multiple,4.205858427012142
15,-0.024087757777004448,log10_SpVL_single,4.202041982295241
15,-0.024087757777004448,log10_SpVL_multiple,4.177954224518237
16,0.003398437164030099,log10_SpVL_single,4.199483720582623
16,0.003398437164030099,log10_SpVL_multiple,4.202882157746653
17,0.009839116865599351,log10_SpVL_single,4.198880659063442
17,0.009839116865599351,log10_SpVL_multiple,4.208719775929041
