multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,0.9991445680068435,1,1
multiple,1300,0.9991445680068435,1,1
multiple,1400,0.9983498213570324,1,1
multiple,1500,0.9982564770850536,1,1
multiple,1600,0.9958847058105097,0.9983319432860718,1
multiple,1700,0.9903286335941998,0.9947391484847087,0.9983754614794923
multiple,1800,0.9851105459057072,0.9905586094191057,0.9955183796005717
multiple,1900,0.9820399957921313,0.9883089749973153,0.9935021037722094
multiple,2000,0.9725228100807936,0.9802793755135579,0.9871178421072241
multiple,2100,0.9555192988948871,0.9648548932586523,0.9748717197342018
multiple,2200,0.9465825068735271,0.9575,0.968267019483245
multiple,2300,0.9214448889222743,0.9356074498400528,0.9483058443077981
multiple,2400,0.8934003384094754,0.9107429414202323,0.9261430921052631
multiple,2500,0.8799974683544304,0.8969575355867083,0.913581954615315
multiple,2600,0.8468083003259841,0.8666387024608502,0.8859722446848104
multiple,2700,0.8136974576424972,0.8350977304000398,0.8550474687546548
multiple,2800,0.7918247503256621,0.8151775225948745,0.8363205500618867
multiple,2900,0.7518349236383295,0.7744766018476501,0.7968889992387717
multiple,3000,0.7091614197530863,0.7343686535337124,0.7579950915315427
multiple,3100,0.6901280526064805,0.7155345057698264,0.7405637138007518
multiple,3200,0.6478619816397595,0.6748001812350888,0.7008904548493524
multiple,3300,0.6049365470647311,0.63348048177362,0.6620978737224016
multiple,3400,0.5833269720101781,0.6119043914349662,0.6418309922502753
multiple,3500,0.5416581632653061,0.5698005565862708,0.6005091931228046
multiple,3600,0.4971697258482388,0.5264685749409777,0.5609345036985487
multiple,3700,0.47822230412296385,0.5074630723351214,0.539274046256999
multiple,3800,0.44280899712330124,0.4724123298763586,0.5049448190944176
multiple,3900,0.4054200423943717,0.4351205430476375,0.46461843571484795
multiple,4000,0.39312409493803224,0.42111662752128615,0.45150715149790077
multiple,4100,0.35863077722001035,0.38940002230400356,0.4196516272460674
multiple,4200,0.33607182743471825,0.36318816762530814,0.39178405524168236
multiple,4300,0.3229752615200131,0.35130718954248363,0.37973788072378084
multiple,4400,0.29619928456839945,0.3227251708095848,0.3514428750784683
multiple,4500,0.27805005500550056,0.3057434169189467,0.3341807479851489
multiple,4600,0.26477009980067456,0.2923710481850017,0.321408748880026
multiple,4700,0.24083271812080537,0.2685762548262548,0.2940204578528334
