multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,0.9991386586940092,1,1
multiple,1200,0.9991386586940092,1,1
multiple,1300,0.9991386586940092,1,1
multiple,1400,0.9958642134200961,0.9983498349834984,1
multiple,1500,0.9903612129678132,0.9942339373970346,0.9983165688739871
multiple,1600,0.9869167711978908,0.9915611814345991,0.9957886369219537
multiple,1700,0.9793805037624168,0.9855687606112055,0.991576382220096
multiple,1800,0.9670506108932171,0.9755501222493888,0.983418020643297
multiple,1900,0.9583984440125962,0.9674418088988646,0.9766518855000361
multiple,2000,0.9339843889065074,0.9456349813766008,0.9570493902028165
multiple,2100,0.9010709067609152,0.915296052631579,0.9306281341298566
multiple,2200,0.8857123617123617,0.9025091389114541,0.9186606079322363
multiple,2300,0.8458845013064089,0.8654779442914463,0.8832256017198168
multiple,2400,0.8050629181931861,0.8268436882003956,0.8495815705592582
multiple,2500,0.7805849712869369,0.8035563719585642,0.8275001973462314
multiple,2600,0.7342926213241927,0.7615131578947368,0.7864803571597785
multiple,2700,0.6965278870463868,0.7234306989484298,0.7489367951908796
multiple,2800,0.6729942250591616,0.7005719049681909,0.7276719405227063
multiple,2900,0.6246972563195724,0.6523370510126931,0.6795786683701487
multiple,3000,0.5838129713279485,0.6112489660876758,0.6412811913954771
multiple,3100,0.5608761904761904,0.5883797333547668,0.6192480493989284
multiple,3200,0.5176566201550388,0.5473814737400883,0.5789920586791417
multiple,3300,0.4769346040127868,0.5053278724320562,0.5379538492624771
multiple,3400,0.455523366227588,0.48329970989254756,0.5164211741371181
multiple,3500,0.417421806274882,0.4452645531466754,0.4774433474930758
multiple,3600,0.3789334727329536,0.40645403539923436,0.438165617257291
multiple,3700,0.36385271857087204,0.3908000137400385,0.4202555509441793
multiple,3800,0.3371882072203833,0.36356372212879146,0.3940953741218993
multiple,3900,0.30426115003417636,0.32974761549364245,0.36200144905262693
multiple,4000,0.2908891413084918,0.31714150623307563,0.3464171658646764
multiple,4100,0.26333104996434603,0.28952932464880876,0.31765201557837236
multiple,4200,0.23916522717344443,0.26420551243059853,0.29247675401521556
multiple,4300,0.22738351438276366,0.25200065077987016,0.2789574799621139
multiple,4400,0.2063530158703463,0.22890588327335315,0.2546235070214597
multiple,4500,0.184865612673563,0.20803707661584375,0.23314379473687893
multiple,4600,0.17768423883808498,0.20016856374877823,0.22648145475537595
