multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,0.9985351490939485,0.9995143273433705,1
multiple,1300,0.9975879666483931,0.9990147783251232,1
multiple,1400,0.9960935583292443,0.9980694980694981,0.9995203905840845
multiple,1500,0.9913960883199551,0.9941377625793845,0.9970239564236356
multiple,1600,0.9883712989222915,0.9919493274187998,0.9956230315366092
multiple,1700,0.9799794153618245,0.9851116625310173,0.9896450724341971
multiple,1800,0.9647839710143912,0.9716004797027622,0.9779890556525206
multiple,1900,0.9573643017353323,0.9654642868928582,0.972658474837913
multiple,2000,0.9337326157421564,0.9438596015127769,0.9528959178161456
multiple,2100,0.9062795778640268,0.9180693193058267,0.9291817511976741
multiple,2200,0.8900337558004972,0.9031065277591028,0.9153911638637677
multiple,2300,0.8548220977517057,0.86965810725166,0.884216147324112
multiple,2400,0.8065630630630631,0.8238341243422126,0.840041045670706
multiple,2500,0.786314329822358,0.8035375903745287,0.8197945992152925
multiple,2600,0.739928073733101,0.7599215952918761,0.7780982682418656
multiple,2700,0.6938892577027578,0.7141093368080782,0.7331463275766676
multiple,2800,0.6711386389182865,0.6932184831009562,0.7134057020543262
multiple,2900,0.6212737701314897,0.6435001260247009,0.6654035132773213
multiple,3000,0.5793747887418363,0.6023829050662608,0.6255541414983924
multiple,3100,0.55894017456332,0.5814573200032818,0.6038365647539035
multiple,3200,0.5173253781794646,0.5416258344411224,0.5640151918868536
multiple,3300,0.47715698080446617,0.5,0.5217010588794121
multiple,3400,0.45542875241812486,0.4788423682616596,0.5004873139756584
multiple,3500,0.41343597737794063,0.4379351436755238,0.4591575873882113
multiple,3600,0.3814198336667018,0.4048440065681445,0.4276396425457276
multiple,3700,0.3644623350253807,0.3881869393890604,0.410025314542638
multiple,3800,0.33207312494133107,0.35387203965102243,0.3751316748329554
multiple,3900,0.30398804754016256,0.32397512577120824,0.34596627507645317
multiple,4000,0.2888138826956192,0.308417840991732,0.3277572710846334
multiple,4100,0.2617749523642561,0.2830782267613624,0.3026301538709734
multiple,4200,0.23754784364487577,0.256963152323853,0.27616869527501425
multiple,4300,0.22319509375157087,0.2419671852890187,0.2620605546289076
multiple,4400,0.20487077572032164,0.22381873806350688,0.24269506531579338
multiple,4500,0.1858971789733313,0.2032480511620371,0.22205882352941175
multiple,4600,0.17504700058741782,0.193012429553368,0.2105532720743414
