replicate,dif,multiplicity,log10_SpVL
1,-0.03561896097637174,log10_SpVL_single,4.271046854075826
1,-0.03561896097637174,log10_SpVL_multiple,4.2354278930994544
2,-0.025366644280278017,log10_SpVL_single,4.270569727680347
2,-0.025366644280278017,log10_SpVL_multiple,4.245203083400069
3,-0.043335755953506805,log10_SpVL_single,4.272212861174436
3,-0.043335755953506805,log10_SpVL_multiple,4.2288771052209295
4,-0.02503267679934762,log10_SpVL_single,4.270364232312889
4,-0.02503267679934762,log10_SpVL_multiple,4.245331555513541
5,-0.010344876518511903,log10_SpVL_single,4.269009294379422
5,-0.010344876518511903,log10_SpVL_multiple,4.25866441786091
6,-0.02370177322489031,log10_SpVL_single,4.2701897076542386
6,-0.02370177322489031,log10_SpVL_multiple,4.246487934429348
7,-0.0577746782802544,log10_SpVL_single,4.273360890106066
7,-0.0577746782802544,log10_SpVL_multiple,4.215586211825811
8,-0.025829171496594583,log10_SpVL_single,4.270344517536304
8,-0.025829171496594583,log10_SpVL_multiple,4.24451534603971
9,0.048335830468529295,log10_SpVL_single,4.263767963280601
9,0.048335830468529295,log10_SpVL_multiple,4.31210379374913
10,0.09856566324420601,log10_SpVL_single,4.259677582411917
10,0.09856566324420601,log10_SpVL_multiple,4.358243245656123
11,0.06659382431984273,log10_SpVL_single,4.262407590130293
11,0.06659382431984273,log10_SpVL_multiple,4.329001414450135
12,-0.008574496589864644,log10_SpVL_single,4.268927358665934
12,-0.008574496589864644,log10_SpVL_multiple,4.260352862076069
13,-0.03147014362017231,log10_SpVL_single,4.271017162956857
13,-0.03147014362017231,log10_SpVL_multiple,4.239547019336685
14,-0.030501023875682876,log10_SpVL_single,4.2713741430782
14,-0.030501023875682876,log10_SpVL_multiple,4.240873119202517
15,-0.017804077387875594,log10_SpVL_single,4.269537578823261
15,-0.017804077387875594,log10_SpVL_multiple,4.251733501435385
16,-0.059883807125512334,log10_SpVL_single,4.27371690914354
