multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,1,1,1
multiple,1300,0.9977011494252873,1,1
multiple,1400,0.9936168851789684,0.9979296066252588,1
multiple,1500,0.9877049180327869,0.9955849889624724,1
multiple,1600,0.984407285717436,0.9934782608695653,1
multiple,1700,0.9733325102880659,0.9861751152073732,0.9956712749615976
multiple,1800,0.9564355572812183,0.9721602567605836,0.9863672566371681
multiple,1900,0.9460093389711921,0.9645833333333333,0.9804789028059618
multiple,2000,0.9288857142857143,0.9503312872667704,0.9691639885895862
multiple,2100,0.8999979123173278,0.925,0.9478272187116853
multiple,2200,0.8869044925662573,0.9142259414225942,0.9396757437023533
multiple,2300,0.8456878587683841,0.8784076671136218,0.9101407360132148
multiple,2400,0.8104539512774807,0.8444189345734768,0.8798318862364273
multiple,2500,0.7923709632419613,0.8277326144842445,0.8648111420332618
multiple,2600,0.7578262794964258,0.7955033202362078,0.8329800142755175
multiple,2700,0.7114110137486302,0.7511473925766858,0.791936170212766
multiple,2800,0.6858233050690561,0.7272727272727273,0.766824330610498
multiple,2900,0.6425686947373694,0.6845493562231759,0.7265380333951763
multiple,3000,0.6,0.6455183056272249,0.6908728852467537
multiple,3100,0.5817872340425532,0.6251272912423625,0.6708167701863355
multiple,3200,0.5447429098640137,0.5888888888888889,0.6346951341045972
multiple,3300,0.502172512971439,0.5472103004291845,0.5938234176528064
multiple,3400,0.48444444444444446,0.5281025281025281,0.5741205061940717
multiple,3500,0.4510915254237288,0.4977826941986234,0.5444784066259121
multiple,3600,0.41188690064440964,0.45625,0.5041091368835487
multiple,3700,0.3951872727622492,0.437636761487965,0.4838142371029036
multiple,3800,0.3522714007782102,0.3982776680849486,0.44580829197764843
multiple,3900,0.3093041273668534,0.3580933553640977,0.40646117084826755
multiple,4000,0.2993324020696,0.3478713768115942,0.3939433551198257
multiple,4100,0.2752862745098039,0.32073730794923183,0.36522178304786995
multiple,4200,0.25423222868707307,0.29738531064864043,0.34233137728085555
multiple,4300,0.24511492130890294,0.2862903225806452,0.3297015374618979
multiple,4400,0.22343903638151424,0.26120130342439846,0.30435175188929237
multiple,4500,0.20574977501124941,0.2446119688608959,0.2848132649858772
multiple,4600,0.19360846488840502,0.23323733765250826,0.27312651770960555
multiple,4700,0.17869468236265348,0.2173958504182385,0.25880218654820647
