riskgroup,ppp,f,,,
mf,1.765E-06,0.13762,,,
fm,8.779E-07,0.14337,,,
msmr,3.190E-06,0.08923,,,
msmi,3.114E-06,0.008839,,,
msm,unknown,unknown,,,
pwid,unknown,unknown,,,
unknown,4.715E-08,0.029,,,
